Isd_024dd	Vsd_024dd
8.8154617e-10	0.44600001
9.0766727e-10	0.44800001
9.4475283e-10	0.44999999
9.8538566e-10	0.45199999
9.940927e-10	0.454
1.0215037e-09	0.456
1.0418201e-09	0.458
1.0763258e-09	0.46000001
1.0976097e-09	0.46200001
1.1211508e-09	0.46399999
1.1130888e-09	0.46599999
1.1495294e-09	0.46799999
1.1456596e-09	0.47
1.1105089e-09	0.472
1.1504968e-09	0.47400001
1.1924196e-09	0.47600001
1.2017716e-09	0.47799999
1.2156384e-09	0.47999999
1.2237005e-09	0.48199999
1.2298276e-09	0.484
1.2636883e-09	0.486
1.2617534e-09	0.48800001
1.3072236e-09	0.49000001
1.32754e-09	0.49200001
1.3826845e-09	0.49399999
1.4271871e-09	0.49599999
1.4194476e-09	0.498
1.3552734e-09	0.5
1.4262197e-09	0.50199997
1.4504059e-09	0.50400001
1.3933265e-09	0.50599998
1.391069e-09	0.50800002
1.4194476e-09	0.50999999
1.4394416e-09	0.51200002
1.4639502e-09	0.514
1.4803968e-09	0.51599997
1.4736247e-09	0.51800001
1.4897489e-09	0.51999998
1.4784619e-09	0.52200001
1.5365089e-09	0.52399999
1.5500532e-09	0.52600002
1.6003605e-09	0.528
1.6148722e-09	0.52999997
1.6358337e-09	0.53200001
1.6703393e-09	0.53399998
1.6796914e-09	0.53600001
1.6532478e-09	0.53799999
1.6584075e-09	0.54000002
1.7499927e-09	0.542
1.8415779e-09	0.54400003
1.8841457e-09	0.546
1.8993023e-09	0.54799998
1.9115567e-09	0.55000001
1.9657338e-09	0.55199999
1.8902728e-09	0.55400002
1.8799533e-09	0.55599999
1.9131692e-09	0.55800003
1.9550919e-09	0.56
1.9628315e-09	0.56199998
1.9886301e-09	0.56400001
1.9783106e-09	0.56599998
1.9473523e-09	0.56800002
1.9147814e-09	0.56999999
1.9579942e-09	0.57200003
1.9918551e-09	0.574
2.0515145e-09	0.57599998
2.0792479e-09	0.57800001
2.1582565e-09	0.57999998
2.2179159e-09	0.58200002
2.2346849e-09	0.58399999
2.260806e-09	0.58600003
2.301439e-09	0.588
2.3478766e-09	0.58999997
2.3520688e-09	0.59200001
2.3165958e-09	0.59399998
2.32885e-09	0.59600002
2.3269151e-09	0.59799999
2.3440068e-09	0.60000002
2.3569062e-09	0.602
2.4484914e-09	0.60399997
2.4533287e-09	0.60600001
2.5081508e-09	0.60799998
2.5078284e-09	0.61000001
2.5387867e-09	0.61199999
2.57555e-09	0.61400002
2.6342419e-09	0.616
2.7355018e-09	0.61799997
2.7155078e-09	0.62
2.7671052e-09	0.62199998
2.8196701e-09	0.62400001
2.7419513e-09	0.62599999
2.7548508e-09	0.62800002
2.8477261e-09	0.63
2.7893565e-09	0.63200003
2.7845193e-09	0.634
2.8454687e-09	0.63599998
2.8851341e-09	0.63800001
2.8296669e-09	0.63999999
2.8644953e-09	0.64200002
2.9035157e-09	0.64399999
2.9992935e-09	0.64600003
3.0218672e-09	0.648
3.0083229e-09	0.64999998
3.029607e-09	0.65200001
3.1160325e-09	0.65399998
3.105713e-09	0.65600002
3.0502458e-09	0.65799999
3.0399263e-09	0.66000003
3.0673375e-09	0.662
3.0437961e-09	0.66399997
3.074432e-09	0.66600001
3.0637901e-09	0.66799998
3.1940737e-09	0.67000002
3.3785346e-09	0.67199999
3.4272296e-09	0.67400002
3.4465786e-09	0.676
3.5713801e-09	0.67799997
3.6755423e-09	0.68000001
3.5378416e-09	0.68199998
3.5010785e-09	0.68400002
3.5110754e-09	0.68599999
3.4504484e-09	0.68800002
3.5491285e-09	0.69
3.681992e-09	0.69199997
3.7758352e-09	0.69400001
3.8445243e-09	0.69599998
3.8738701e-09	0.69800001
3.9093435e-09	0.69999999
